Date,Distance (in AU)
 1951-Jul-23,0.002526729
 1951-Jul-24,0.00256823
 1951-Jul-25,0.002607534
 1951-Jul-26,0.002642258
 1951-Jul-27,0.00267074
 1951-Jul-28,0.002692049
 1951-Jul-29,0.002705901
 1951-Jul-30,0.002712549
 1951-Jul-31,0.002712627
 1951-Aug-01,0.002707001
 1951-Aug-02,0.002696615
 1951-Aug-03,0.002682354
 1951-Aug-04,0.002664955
 1951-Aug-05,0.002644949
 1951-Aug-06,0.002622678
 1951-Aug-07,0.002598369
 1951-Aug-08,0.002572253
 1951-Aug-09,0.002544731
 1951-Aug-10,0.002516526
 1951-Aug-11,0.002488808
 1951-Aug-12,0.00246323
 1951-Aug-13,0.002441844
 1951-Aug-14,0.002426866
 1951-Aug-15,0.002420328
 1951-Aug-16,0.002423653
 1951-Aug-17,0.002437302
 1951-Aug-18,0.002460592
 1951-Aug-19,0.002491742
 1951-Aug-20,0.002528153
 1951-Aug-21,0.002566795
 1951-Aug-22,0.002604615
 1951-Aug-23,0.002638876
 1951-Aug-24,0.002667386
 1951-Aug-25,0.002688624
 1951-Aug-26,0.002701774
 1951-Aug-27,0.002706694
 1951-Aug-28,0.002703844
 1951-Aug-29,0.002694165
 1951-Aug-30,0.00267894
 1951-Aug-31,0.002659635
 1951-Sep-01,0.002637733
 1951-Sep-02,0.002614579
 1951-Sep-03,0.002591263
 1951-Sep-04,0.002568556
 1951-Sep-05,0.002546924
 1951-Sep-06,0.002526613
 1951-Sep-07,0.002507796
 1951-Sep-08,0.002490737
 1951-Sep-09,0.002475938
 1951-Sep-10,0.002464212
 1951-Sep-11,0.00245665
 1951-Sep-12,0.002454475
 1951-Sep-13,0.002458791
 1951-Sep-14,0.002470292
 1951-Sep-15,0.002489014
 1951-Sep-16,0.002514194
 1951-Sep-17,0.002544295
 1951-Sep-18,0.002577166
 1951-Sep-19,0.002610309
 1951-Sep-20,0.002641176
 1951-Sep-21,0.00266743
 1951-Sep-22,0.002687163
 1951-Sep-23,0.002699034
 1951-Sep-24,0.002702353
 1951-Sep-25,0.002697106
 1951-Sep-26,0.002683932
 1951-Sep-27,0.002664055
 1951-Sep-28,0.002639173
 1951-Sep-29,0.002611301
 1951-Sep-30,0.002582567
 1951-Oct-01,0.002554992
 1951-Oct-02,0.002530273
 1951-Oct-03,0.002509609
 1951-Oct-04,0.00249363
 1951-Oct-05,0.002482425
 1951-Oct-06,0.002475687
 1951-Oct-07,0.002472921
 1951-Oct-08,0.002473659
 1951-Oct-09,0.002477627
 1951-Oct-10,0.002484803
 1951-Oct-11,0.002495376
 1951-Oct-12,0.002509609
 1951-Oct-13,0.002527641
 1951-Oct-14,0.0025493
 1951-Oct-15,0.002573967
 1951-Oct-16,0.002600532
 1951-Oct-17,0.002627452
 1951-Oct-18,0.002652884
 1951-Oct-19,0.002674878
 1951-Oct-20,0.002691572
 1951-Oct-21,0.002701388
 1951-Oct-22,0.002703187
 1951-Oct-23,0.002696396
 1951-Oct-24,0.002681089
 1951-Oct-25,0.002658029
 1951-Oct-26,0.002628665
 1951-Oct-27,0.002595057
 1951-Oct-28,0.002559735
 1951-Oct-29,0.002525473
 1951-Oct-30,0.002494986
 1951-Oct-31,0.002470585
 1951-Nov-01,0.002453867
 1951-Nov-02,0.002445517
 1951-Nov-03,0.002445285
 1951-Nov-04,0.00245216
 1951-Nov-05,0.002464664
 1951-Nov-06,0.002481205
 1951-Nov-07,0.002500356
 1951-Nov-08,0.002521038
 1951-Nov-09,0.002542562
 1951-Nov-10,0.002564559
 1951-Nov-11,0.002586838
 1951-Nov-12,0.002609212
 1951-Nov-13,0.002631341
 1951-Nov-14,0.002652629
 1951-Nov-15,0.002672183
 1951-Nov-16,0.002688847
 1951-Nov-17,0.002701301
 1951-Nov-18,0.002708198
 1951-Nov-19,0.002708323
 1951-Nov-20,0.002700761
 1951-Nov-21,0.002685048
 1951-Nov-22,0.00266131
 1951-Nov-23,0.002630362
 1951-Nov-24,0.002593765
 1951-Nov-25,0.002553815
 1951-Nov-26,0.002513421
 1951-Nov-27,0.002475869
 1951-Nov-28,0.002444446
 1951-Nov-29,0.002421972
 1951-Nov-30,0.002410331
 1951-Dec-01,0.002410152
 1951-Dec-02,0.002420746
 1951-Dec-03,0.002440324
 1951-Dec-04,0.00246643
 1951-Dec-05,0.002496425
 1951-Dec-06,0.002527901
 1951-Dec-07,0.002558941
 1951-Dec-08,0.00258822
 1951-Dec-09,0.002614966
 1951-Dec-10,0.002638831
 1951-Dec-11,0.002659723
 1951-Dec-12,0.002677629
 1951-Dec-13,0.00269246
 1951-Dec-14,0.002703952
 1951-Dec-15,0.002711617
 1951-Dec-16,0.002714771
 1951-Dec-17,0.002712605
 1951-Dec-18,0.002704309
 1951-Dec-19,0.002689227
 1951-Dec-20,0.002667022
 1951-Dec-21,0.002637851
 1951-Dec-22,0.002602509
 1951-Dec-23,0.00256254
 1951-Dec-24,0.002520269
 1951-Dec-25,0.002478727
 1951-Dec-26,0.002441404
 1951-Dec-27,0.00241184
 1951-Dec-28,0.002393068
 1951-Dec-29,0.002387048
 1951-Dec-30,0.002394256
 1951-Dec-31,0.002413603
 1952-Jan-01,0.002442706
 1952-Jan-02,0.002478408
 1952-Jan-03,0.00251736
 1952-Jan-04,0.002556512
 1952-Jan-05,0.002593413
 1952-Jan-06,0.002626345
 1952-Jan-07,0.0026543
 1952-Jan-08,0.002676873
 1952-Jan-09,0.002694094
 1952-Jan-10,0.002706249
 1952-Jan-11,0.002713706
 1952-Jan-12,0.002716775
 1952-Jan-13,0.002715602
 1952-Jan-14,0.002710132
 1952-Jan-15,0.002700122
 1952-Jan-16,0.002685217
 1952-Jan-17,0.002665072
 1952-Jan-18,0.002639522
 1952-Jan-19,0.002608752
 1952-Jan-20,0.002573479
 1952-Jan-21,0.002535091
 1952-Jan-22,0.002495712
 1952-Jan-23,0.002458145
 1952-Jan-24,0.002425655
 1952-Jan-25,0.002401556
 1952-Jan-26,0.002388652
 1952-Jan-27,0.002388674
 1952-Jan-28,0.002401864
 1952-Jan-29,0.0024269
 1952-Jan-30,0.002461169
 1952-Jan-31,0.002501284
